Name,Image,Album,1998,1999,2000,2001,2002,2003,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2019,2020,2021
Lost+,,,0,0,0,0,0,0,0,0,0,0,4,5,5,6,6,6,6,6,6,6,6,6
Love Me Tender,,,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Lovers in Japan,,,0,0,0,0,0,0,0,0,0,92,173,183,183,248,248,248,248,252,252,255,258,258
Low,,,0,0,0,0,0,0,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64
Lyon Song,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Maa Tujhe Salaam,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Magic,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,31,74,128,129,130,132
Major Minus,,,0,0,0,0,0,0,0,0,0,0,0,0,43,111,111,111,111,111,111,111,111,111
Manila Song,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Many Rivers to Cross,,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Me enamoré,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Midnight,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,81,136,136,136,136
Miracles (Someone Special),,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Mooie Ellebogen,,,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Moses,,,0,0,0,0,9,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
Moving to Mars,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Mrs. Robinson,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Murder,,,0,0,0,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
My Happiness,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
My Universe,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
My Way,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Mylo Xyloto,,,0,0,0,0,0,0,0,0,0,0,0,0,45,115,115,115,115,115,115,115,115,115
Na Their Way Be That,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4
Nebraska Song,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Nightswimming,,,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
No More Keeping My Feet on the Ground,,,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Nothing Compares 2 U,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Oceans,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17,17,17,17,17
Ode to Deodorant,,,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
One I Love,,,0,0,0,0,66,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148
Only Superstition,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Orphans,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,12
